REGIONE,VALORE
Lombardia,8481
Piemonte,8551
Sicilia,-1160
Emilia Romagna,679
Puglia,315
Toscana,-888
Veneto,-255
Liguria,795
Campania,-1642
Marche,302
Calabria,54
Sardegna,305
Lazio,-1875
Friuli Venezia Giulia,-138
Abruzzo,-219
Trentino Alto Adige,373
Umbria,-330
Molise,46
Basilicata,-193
Valle d'Aosta,-28
