"TIME","GEO","SEX","UNIT","Value"
"2010W04","Poland","Total","Number","7,859"
"2010W04","Portugal","Total","Number","2,255"
"2010W04","Romania","Total","Number",":"
"2010W04","Slovenia","Total","Number","376"
"2010W04","Slovakia","Total","Number","1,145"
"2010W04","Finland","Total","Number","1,065"
"2010W04","Sweden","Total","Number","1,919"
"2010W04","United Kingdom","Total","Number",":"
"2010W04","Iceland","Total","Number","42"
"2010W04","Liechtenstein","Total","Number","4"
"2010W04","Norway","Total","Number","772"
"2010W04","Switzerland","Total","Number","1,252"
"2010W04","Montenegro","Total","Number","119"
"2010W04","Albania","Total","Number",":"
"2010W04","Serbia","Total","Number","2,222"
"2010W04","Andorra","Total","Number","9"
"2010W04","Armenia","Total","Number",":"
"2010W04","Georgia","Total","Number",":"
"2010W05","Belgium","Total","Number","2,248"
"2010W05","Bulgaria","Total","Number","2,516"
"2010W05","Czechia","Total","Number","2,167"
"2010W05","Denmark","Total","Number","1,102"
"2010W05","Germany (until 1990 former territory of the FRG)","Total","Number",":"
"2010W05","Estonia","Total","Number","319"
"2010W05","Greece","Total","Number",":"
"2010W05","Spain","Total","Number","8,154"
"2010W05","France","Total","Number",":"
"2010W05","Croatia","Total","Number","1,124"
"2010W05","Italy","Total","Number",":"
"2010W05","Cyprus","Total","Number",":"
"2010W05","Latvia","Total","Number","653"
"2010W05","Lithuania","Total","Number","874"
"2010W05","Luxembourg","Total","Number","86"
"2010W05","Hungary","Total","Number","2,699"
"2010W05","Malta","Total","Number",":"
"2010W05","Netherlands","Total","Number","2,861"
"2010W05","Austria","Total","Number","1,544"
"2010W05","Poland","Total","Number","7,372"
"2010W05","Portugal","Total","Number","2,277"
"2010W05","Romania","Total","Number",":"
"2010W05","Slovenia","Total","Number","395"
"2010W05","Slovakia","Total","Number","1,103"
"2010W05","Finland","Total","Number","1,031"
"2010W05","Sweden","Total","Number","1,848"
"2010W05","United Kingdom","Total","Number",":"
"2010W05","Iceland","Total","Number","29"
"2010W05","Liechtenstein","Total","Number","3"
"2010W05","Norway","Total","Number","842"
"2010W05","Switzerland","Total","Number","1,297"
"2010W05","Montenegro","Total","Number","93"
"2010W05","Albania","Total","Number",":"
"2010W05","Serbia","Total","Number","2,138"
"2010W05","Andorra","Total","Number","4"
"2010W05","Armenia","Total","Number",":"
"2010W05","Georgia","Total","Number",":"
"2010W06","Belgium","Total","Number","2,151"
"2010W06","Bulgaria","Total","Number","2,458"
"2010W06","Czechia","Total","Number","2,253"
"2010W06","Denmark","Total","Number","1,128"
"2010W06","Germany (until 1990 former territory of the FRG)","Total","Number",":"
"2010W06","Estonia","Total","Number","337"
"2010W06","Greece","Total","Number",":"
"2010W06","Spain","Total","Number","7,954"
"2010W06","France","Total","Number",":"
"2010W06","Croatia","Total","Number","1,076"
"2010W06","Italy","Total","Number",":"
"2010W06","Cyprus","Total","Number",":"
"2010W06","Latvia","Total","Number","648"
"2010W06","Lithuania","Total","Number","827"
"2010W06","Luxembourg","Total","Number","77"
"2010W06","Hungary","Total","Number","2,697"
"2010W06","Malta","Total","Number",":"
"2010W06","Netherlands","Total","Number","2,831"
"2010W06","Austria","Total","Number","1,551"
"2010W06","Poland","Total","Number","7,345"
"2010W06","Portugal","Total","Number","2,183"
"2010W06","Romania","Total","Number",":"
"2010W06","Slovenia","Total","Number","352"
"2010W06","Slovakia","Total","Number","1,125"
"2010W06","Finland","Total","Number","1,005"
"2010W06","Sweden","Total","Number","1,836"
"2010W06","United Kingdom","Total","Number",":"
"2010W06","Iceland","Total","Number","39"
"2010W06","Liechtenstein","Total","Number","3"
"2010W06","Norway","Total","Number","863"
"2010W06","Switzerland","Total","Number","1,245"
"2010W06","Montenegro","Total","Number","128"
"2010W06","Albania","Total","Number",":"
"2010W06","Serbia","Total","Number","2,148"
"2010W06","Andorra","Total","Number","3"
"2010W06","Armenia","Total","Number",":"
"2010W06","Georgia","Total","Number",":"
"2010W07","Belgium","Total","Number","2,260"
"2010W07","Bulgaria","Total","Number","2,323"
"2010W07","Czechia","Total","Number","2,193"
