TIME,GEO,Value
2020-05-25,Germany,17141
2020-06-01,Germany,16744
2020-06-08,Germany,17253
2020-06-15,Germany,16575
2020-06-22,Germany,16366
2020-06-29,Germany,17251
2020-07-06,Germany,16411
2020-07-13,Germany,16124
2020-07-20,Germany,16488
2020-07-27,Germany,16873
2020-08-03,Germany,17364
2020-08-10,Germany,17426
2020-08-17,Germany,19610
2020-08-24,Germany,17479
2020-08-31,Germany,16561
2020-09-07,Germany,16639
2020-09-14,Germany,16988
2020-09-21,Germany,17410
2020-09-28,Germany,17254
